continent,year,mean_gdp_pc_ppp_2017,mean_neet_youth_pct,n_countries,gdp_pc_growth_pct
Oceania,2001,9633.690715384617,NA,13,1.8102379181876183
Oceania,2002,9886.386769230769,NA,13,2.6230451164744872
Oceania,2003,9990.518846153846,NA,13,1.0532875089124039
Oceania,2004,9878.37775,10.79,14,-1.1224751975420943
Oceania,2005,10064.310457142858,15.835,14,1.8822190429279573
Oceania,2006,10224.061285714288,17.485,14,1.5873002850190554
Oceania,2007,10303.972507142858,10.98,14,0.7815995933067033
Oceania,2008,10336.9814,11.24,14,0.320351134809993
Oceania,2009,10242.286157142857,17.326666666666668,14,-0.9160821635718963
Oceania,2010,10410.614235714285,23.08,14,1.643461977031735
Oceania,2011,10694.843864285715,14.15,14,2.7301907662312663
Oceania,2012,10880.158335714286,20.916666666666668,14,1.7327459267302503
Oceania,2013,11136.771421428572,16.669999999999998,14,2.3585418318035734
Oceania,2014,11540.791771428572,16.552,14,3.6278049958232472
Oceania,2015,11834.6117,22.743333333333332,14,2.5459252223823503
Oceania,2016,12047.039964285714,18.805,14,1.7949745177166632
Oceania,2017,12087.827892857144,23.785,14,0.3385722027348548
Oceania,2018,12268.905178571427,19.985,14,1.4980134340040197
Oceania,2019,12404.097628571428,35.2675,14,1.1019112792242103
Oceania,2020,11906.08727142857,31.5225,14,-4.014885822857018
Oceania,2021,11818.823535714286,15.265,14,-0.732933781895706
South America,1990,8980.350245454545,28.14,11,NA
South America,1991,9239.63609090909,NA,11,2.8872576054122634
South America,1992,9495.691545454545,24.09,11,2.771272072039599
South America,1993,9713.817845454545,NA,11,2.297108103773793
South America,1994,10137.67460909091,24.57,11,4.363441546669544
South America,1995,10265.623454545454,20.29,11,1.2621123718037586
South America,1996,10505.362118181818,20.82,11,2.335354152603486
South America,1997,10980.035,20.49,11,4.518386672237185
South America,1998,11082.375218181818,22.035,11,0.9320573038411828
South America,1999,10779.700527272727,19.5925,11,-2.7311355639043966
South America,2000,10769.617063636364,20.5875,11,-0.09354122232665407
South America,2001,10688.017681818183,20.632,11,-0.7576813672762972
South America,2002,10509.630390909091,21.965,11,-1.669040005543343
South America,2003,10803.016927272727,21.874285714285715,11,2.7915970919150324
South America,2004,11356.460018181819,20.015,11,5.123041967211006
South America,2005,11820.503754545454,19.79,11,4.086165368615724
South America,2006,12376.877727272727,18.12,11,4.7068550061863945
South America,2007,13022.16059090909,18.495714285714286,11,5.213615888072232
South America,2008,13547.425363636363,17.76125,11,4.033622293784078
South America,2009,13464.963181818182,18.29,11,-0.6086926453163777
South America,2010,14274.039718181817,18.647142857142857,11,6.0087541676767
South America,2011,14951.615272727273,17.464444444444446,11,4.7469081488009435
South America,2012,15280.0963,17.254444444444445,11,2.1969601362863855
South America,2013,15767.974636363637,17.45777777777778,11,3.192900926701858
South America,2014,15905.552963636364,18.156666666666666,11,0.8725174313475081
South America,2015,15898.468372727271,18.94125,11,-0.04454161968018289
South America,2016,15811.957,18.433333333333334,11,-0.5441491010270805
South America,2017,15998.342818181818,18.38111111111111,11,1.178765020558914
South America,2018,16134.717818181818,21.153333333333332,11,0.8524320396798402
South America,2019,16089.069636363636,21.36,11,-0.2829189969888568
South America,2020,15293.827545454546,21.644,11,-4.9427475229004365
South America,2021,16421.19429090909,18.76375,11,7.371383926645669
